events,date
"[{'type': '投资', 'offset': [2256, 2258], 'trigger': '投资', 'arguments': [{'mention': '金融机构', 'offset': [129, 133], 'role': '投资-sub'}, {'mention': '社会组织', 'offset': [252, 256], 'role': '投资-sub'}, {'mention': '气候投融资', 'offset': [14, 19], 'role': '投资-obj'}, {'mention': '政府', 'offset': [236, 238], 'role': '投资-sub'}, {'mention': '研究机构', 'offset': [247, 251], 'role': '投资-sub'}, {'mention': '企业', 'offset': [239, 241], 'role': '投资-sub'}]}]",
,2024-05-20
"[{'type': '减持', 'offset': [31, 33], 'trigger': '减排', 'arguments': [{'mention': '四川泸州市“绿芽积分”微信小程序', 'offset': [68, 84], 'role': '发布方'}, {'mention': '5月15日', 'offset': [0, 5], 'role': '时间'}, {'mention': '“绿芽积分”微信小程序', 'offset': [73, 84], 'role': '发布产品'}]}]",
,2024-05-20
"[{'type': '投资', 'offset': [160, 162], 'trigger': '投资', 'arguments': [{'mention': '中国人民银行等九部门', 'offset': [234, 244], 'role': '融资方'}, {'mention': '北京市密云区和通州区', 'offset': [248, 258], 'role': '融资方'}, {'mention': '2022年', 'offset': [210, 215], 'role': '时间'}]}, {'type': '投资', 'offset': [4, 6], 'trigger': '融资', 'arguments': [{'mention': '2022年', 'offset': [210, 215], 'role': '时间'}, {'mention': '中国人民银行等九部门', 'offset': [234, 244], 'role': '融资方'}, {'mention': '北京市密云区和通州区', 'offset': [248, 258], 'role': '融资方'}]}]",
,2024-05-17
"[{'type': '投资', 'offset': [168, 170], 'trigger': '投资', 'arguments': [{'mention': '金融机构和非金融企业', 'offset': [131, 141], 'role': '约谈对象'}, {'mention': '5月17日', 'offset': [212, 217], 'role': '时间'}]}, {'type': '股份股权转让', 'offset': [4, 6], 'trigger': '发行', 'arguments': [{'mention': '5月17日', 'offset': [212, 217], 'role': '时间'}, {'mention': '金融机构和非金融企业', 'offset': [131, 141], 'role': '约谈对象'}]}]",
,2024-05-17
"[{'type': '投资', 'offset': [61, 63], 'trigger': '投入', 'arguments': [{'mention': '一季度', 'offset': [128, 131], 'role': '时间'}]}, {'type': '投资', 'offset': [119, 121], 'trigger': '贷款', 'arguments': [{'mention': '一季度', 'offset': [128, 131], 'role': '时间'}]}]",
,2024-05-17
[],
,2024-05-17
"[{'type': '投资', 'offset': [160, 162], 'trigger': '投资', 'arguments': [{'mention': '中国人民银行等九部门', 'offset': [234, 244], 'role': '融资方'}, {'mention': '北京市密云区和通州区', 'offset': [248, 258], 'role': '融资方'}, {'mention': '2022年', 'offset': [210, 215], 'role': '时间'}]}, {'type': '投资', 'offset': [4, 6], 'trigger': '融资', 'arguments': [{'mention': '2022年', 'offset': [210, 215], 'role': '时间'}, {'mention': '中国人民银行等九部门', 'offset': [234, 244], 'role': '融资方'}, {'mention': '北京市密云区和通州区', 'offset': [248, 258], 'role': '融资方'}]}]",
,2024-05-17
"[{'type': '提供', 'offset': [78, 80], 'trigger': '提供', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '全国首单蓝碳交易财产安全险', 'offset': [35, 48], 'role': '发布产品'}]}]",
,2024-05-16
"[{'type': '支付/给付', 'offset': [161, 163], 'trigger': '应付', 'arguments': [{'mention': '4月29日', 'offset': [108, 113], 'role': '时间'}, {'mention': '201万元', 'offset': [196, 201], 'role': '融资金额'}, {'mention': '亚星线缆集团有限公司', 'offset': [93, 103], 'role': '融资方'}]}, {'type': '放贷', 'offset': [204, 206], 'trigger': '贷款', 'arguments': [{'mention': '201万元', 'offset': [196, 201], 'role': '融资金额'}, {'mention': '亚星线缆集团有限公司', 'offset': [93, 103], 'role': '融资方'}, {'mention': '4月29日', 'offset': [108, 113], 'role': '时间'}]}]",
,2024-05-16
"[{'type': '制造', 'offset': [1016, 1018], 'trigger': '生产', 'arguments': [{'mention': '深圳市节能宣传周', 'offset': [19, 27], 'role': '发布方'}, {'mention': '5月15日', 'offset': [0, 5], 'role': '时间'}]}, {'type': '制造', 'offset': [195, 197], 'trigger': '建设', 'arguments': [{'mention': '5月15日', 'offset': [0, 5], 'role': '时间'}, {'mention': '深圳市节能宣传周', 'offset': [19, 27], 'role': '发布方'}]}]",
,2024-05-16
"[{'type': '支付/给付', 'offset': [212, 214], 'trigger': '闪付', 'arguments': [{'mention': '5月15日', 'offset': [0, 5], 'role': '时间'}, {'mention': '中国建设银行与中国银联', 'offset': [13, 24], 'role': '发布方'}, {'mention': '建设银行碳账户与银联“低碳计划”平台', 'offset': [37, 55], 'role': '发布产品'}]}, {'type': '支付/给付', 'offset': [608, 610], 'trigger': '支付', 'arguments': [{'mention': '5月15日', 'offset': [0, 5], 'role': '时间'}, {'mention': '中国建设银行与中国银联', 'offset': [13, 24], 'role': '发布方'}, {'mention': '建设银行碳账户与银联“低碳计划”平台', 'offset': [37, 55], 'role': '发布产品'}]}]",
,2024-05-16
"[{'type': '投资', 'offset': [16, 18], 'trigger': '投资', 'arguments': [{'mention': 'ESG债券', 'offset': [25, 30], 'role': '发布产品'}, {'mention': '摩根大通中国债务资本市场主管陈洁', 'offset': [38, 54], 'role': '发布方'}]}, {'type': '介绍/引荐', 'offset': [165, 167], 'trigger': '介绍', 'arguments': [{'mention': 'ESG债券', 'offset': [25, 30], 'role': '发布产品'}, {'mention': '摩根大通中国债务资本市场主管陈洁', 'offset': [38, 54], 'role': '发布方'}]}]",
,2024-05-16
[],
,2024-05-15
"[{'type': '投资', 'offset': [24, 26], 'trigger': '融资', 'arguments': [{'mention': '第三届中国气候投融资国际研讨会', 'offset': [86, 101], 'role': '活动名称'}, {'mention': '5月13日-14日', 'offset': [49, 58], 'role': '时间'}, {'mention': '北京', 'offset': [102, 104], 'role': '地点'}]}]",
,2024-05-15
"[{'type': '介绍/引荐', 'offset': [357, 359], 'trigger': '介绍', 'arguments': [{'mention': '近日', 'offset': [22, 24], 'role': '时间'}, {'mention': '中国节能环保集团有限公司党委书记、董事长宋鑫', 'offset': [0, 22], 'role': '发布方'}]}]",
,2024-05-15
"[{'type': '介绍/引荐', 'offset': [1020, 1022], 'trigger': '介绍', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '第三届中国气候投融资国际研讨会', 'offset': [3, 18], 'role': '活动名称'}, {'mention': '北京', 'offset': [19, 21], 'role': '地点'}]}]",
,2024-05-15
"[{'type': '投资', 'offset': [24, 26], 'trigger': '融资', 'arguments': [{'mention': '第三届中国气候投融资国际研讨会', 'offset': [86, 101], 'role': '活动名称'}, {'mention': '5月13日-14日', 'offset': [49, 58], 'role': '时间'}, {'mention': '北京', 'offset': [102, 104], 'role': '地点'}]}]",
,2024-05-15
"[{'type': '介绍/引荐', 'offset': [275, 277], 'trigger': '介绍', 'arguments': [{'mention': '近日', 'offset': [15, 17], 'role': '时间'}, {'mention': '绿色信贷产品', 'offset': [176, 182], 'role': '发布产品'}, {'mention': '恒丰银行党委书记、董事长辛树人', 'offset': [0, 15], 'role': '发布方'}]}]",
,2024-05-15
"[{'type': '投资', 'offset': [1109, 1111], 'trigger': '投资', 'arguments': [{'mention': '5月13日', 'offset': [229, 234], 'role': '时间'}, {'mention': '2024第三届中国气候投融资国际研讨会', 'offset': [235, 254], 'role': '活动名称'}, {'mention': '北京', 'offset': [328, 330], 'role': '地点'}]}]",
,2024-05-14
"[{'type': '质押', 'offset': [142, 144], 'trigger': '质押', 'arguments': [{'mention': '中国人民银行', 'offset': [51, 57], 'role': '约谈发起方'}, {'mention': '中国证监会', 'offset': [71, 76], 'role': '约谈发起方'}, {'mention': '日前', 'offset': [76, 78], 'role': '时间'}, {'mention': '生态环境部', 'offset': [58, 63], 'role': '约谈发起方'}, {'mention': '金融监管总局', 'offset': [64, 70], 'role': '约谈发起方'}]}]",
,2024-05-14
"[{'type': '介绍/引荐', 'offset': [1519, 1521], 'trigger': '介绍', 'arguments': [{'mention': '5月13日', 'offset': [0, 5], 'role': '时间'}, {'mention': '国务院国资委社会责任局', 'offset': [259, 270], 'role': '约谈发起方'}]}, {'type': '介绍/引荐', 'offset': [84, 86], 'trigger': '分享', 'arguments': [{'mention': '国务院国资委社会责任局', 'offset': [259, 270], 'role': '约谈发起方'}, {'mention': '5月13日', 'offset': [0, 5], 'role': '时间'}]}]",
,2024-05-14
"[{'type': '要求/请求', 'offset': [182, 184], 'trigger': '要求', 'arguments': [{'mention': '金融监管总局', 'offset': [113, 119], 'role': '发布方'}]}]",
,2024-05-13
"[{'type': '投资', 'offset': [21, 23], 'trigger': '投资', 'arguments': [{'mention': '碳信用', 'offset': [3, 6], 'role': '发布产品'}, {'mention': '伦敦帝国理工学院', 'offset': [247, 255], 'role': '发布方'}]}, {'type': '建议', 'offset': [167, 169], 'trigger': '建议', 'arguments': [{'mention': '伦敦帝国理工学院', 'offset': [247, 255], 'role': '发布方'}, {'mention': '碳信用', 'offset': [3, 6], 'role': '发布产品'}]}]",
,2024-05-13
[],
,2024-05-13
"[{'type': '减持', 'offset': [250, 252], 'trigger': '减排', 'arguments': [{'mention': '12日', 'offset': [91, 94], 'role': '时间'}, {'mention': '中国品牌全球行', 'offset': [96, 103], 'role': '地点'}, {'mention': '在中国品牌全球行与ESG可持续发展会议', 'offset': [95, 114], 'role': '活动名称'}]}]",
,2024-05-13
[],
,2024-05-13
"[{'type': '投资', 'offset': [195, 197], 'trigger': '投资', 'arguments': [{'mention': '科技金融、绿色金融、普惠金融、养老金融、数字金融“五篇大文章”', 'offset': [13, 44], 'role': '发布产品'}, {'mention': '今年', 'offset': [44, 46], 'role': '时间'}]}]",
,2024-05-11
"[{'type': '通知/提醒', 'offset': [12, 14], 'trigger': '报告', 'arguments': [{'mention': '美联储', 'offset': [0, 3], 'role': '发布方'}, {'mention': '美联储周四公布的一份分析报告', 'offset': [0, 14], 'role': '发布产品'}, {'mention': '周四', 'offset': [3, 5], 'role': '时间'}]}]",
,2024-05-10
"[{'type': '归还/偿还', 'offset': [75, 77], 'trigger': '还款', 'arguments': [{'mention': '徐州市循环经济产业园建筑垃圾综合处理中心', 'offset': [164, 184], 'role': '投资-obj'}]}]",
,2024-05-09
"[{'type': '提供', 'offset': [55, 57], 'trigger': '提供', 'arguments': [{'mention': '首笔铜产业“产品碳足迹挂钩”贷款', 'offset': [18, 34], 'role': '融资轮次'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '兴业银行南昌分行', 'offset': [3, 11], 'role': '融资方'}]}, {'type': '减持', 'offset': [118, 120], 'trigger': '减排', 'arguments': [{'mention': '首笔铜产业“产品碳足迹挂钩”贷款', 'offset': [18, 34], 'role': '融资轮次'}, {'mention': '兴业银行南昌分行', 'offset': [3, 11], 'role': '融资方'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}, {'type': '帮助/救助', 'offset': [59, 61], 'trigger': '支持', 'arguments': [{'mention': '兴业银行南昌分行', 'offset': [3, 11], 'role': '融资方'}, {'mention': '首笔铜产业“产品碳足迹挂钩”贷款', 'offset': [18, 34], 'role': '融资轮次'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2024-05-09
"[{'type': '质押', 'offset': [9, 11], 'trigger': '质押', 'arguments': [{'mention': '林口县技新污水处理有限责任公司', 'offset': [103, 118], 'role': '质押-obj-org'}, {'mention': '1500万元', 'offset': [120, 126], 'role': '质押-money'}, {'mention': '林口县技新污水处理有限责任公司', 'offset': [103, 118], 'role': '质押-sub-org'}, {'mention': '林口农村商业银行', 'offset': [94, 102], 'role': '质押-sub-org'}, {'mention': '排污权', 'offset': [4, 7], 'role': '质押-collateral'}]}]",
,2024-05-09
"[{'type': '放贷', 'offset': [57, 59], 'trigger': '贷款', 'arguments': [{'mention': '昆仑银行', 'offset': [0, 4], 'role': '发布方'}, {'mention': '今年', 'offset': [220, 222], 'role': '时间'}]}]",
,2024-05-09
"[{'type': '投资', 'offset': [209, 211], 'trigger': '投资', 'arguments': [{'mention': '东方基金', 'offset': [28, 32], 'role': '发布方'}, {'mention': '国海富兰克林基金旗下的中债绿色普惠金融债券指数基金', 'offset': [33, 58], 'role': '发布方'}, {'mention': '嘉实中债绿色普惠金融债券指数基金', 'offset': [76, 92], 'role': '发布产品'}, {'mention': '宏利基金', 'offset': [23, 27], 'role': '发布方'}, {'mention': '5月6日', 'offset': [67, 71], 'role': '时间'}]}, {'type': '股份股权转让', 'offset': [60, 62], 'trigger': '发行', 'arguments': [{'mention': '东方基金', 'offset': [28, 32], 'role': '发布方'}, {'mention': '国海富兰克林基金旗下的中债绿色普惠金融债券指数基金', 'offset': [33, 58], 'role': '发布方'}, {'mention': '宏利基金', 'offset': [23, 27], 'role': '发布方'}, {'mention': '嘉实中债绿色普惠金融债券指数基金', 'offset': [76, 92], 'role': '发布产品'}, {'mention': '5月6日', 'offset': [67, 71], 'role': '时间'}]}, {'type': '通知/提醒', 'offset': [157, 159], 'trigger': '上报', 'arguments': [{'mention': '东方基金', 'offset': [28, 32], 'role': '发布方'}, {'mention': '5月6日', 'offset': [67, 71], 'role': '时间'}, {'mention': '国海富兰克林基金旗下的中债绿色普惠金融债券指数基金', 'offset': [33, 58], 'role': '发布方'}, {'mention': '宏利基金', 'offset': [23, 27], 'role': '发布方'}, {'mention': '嘉实中债绿色普惠金融债券指数基金', 'offset': [76, 92], 'role': '发布产品'}]}]",
,2024-05-09
"[{'type': '通知/提醒', 'offset': [178, 180], 'trigger': '发布', 'arguments': [{'mention': '嘉实基金', 'offset': [174, 178], 'role': '发布方'}, {'mention': '嘉实中债绿色普惠主题金融债券优选指数证券投资基金', 'offset': [184, 208], 'role': '发布产品'}, {'mention': '5月6日至8月5日', 'offset': [209, 218], 'role': '时间'}]}]",
,2024-05-08
"[{'type': '建议', 'offset': [151, 153], 'trigger': '建议', 'arguments': [{'mention': '高碳行业', 'offset': [57, 61], 'role': '投资-obj'}]}]",
,2024-05-07
"[{'type': '支付/给付', 'offset': [62, 64], 'trigger': '拨款', 'arguments': [{'mention': '5日', 'offset': [9, 11], 'role': '时间'}, {'mention': '格鲁吉亚首都第比利斯', 'offset': [12, 22], 'role': '地点'}]}, {'type': '要求/请求', 'offset': [48, 50], 'trigger': '表示', 'arguments': [{'mention': '5日', 'offset': [9, 11], 'role': '时间'}, {'mention': '格鲁吉亚首都第比利斯', 'offset': [12, 22], 'role': '地点'}]}, {'type': '投资', 'offset': [134, 136], 'trigger': '出资', 'arguments': [{'mention': '格鲁吉亚首都第比利斯', 'offset': [12, 22], 'role': '地点'}, {'mention': '5日', 'offset': [9, 11], 'role': '时间'}]}]",
,2024-05-07
"[{'type': '放贷', 'offset': [128, 130], 'trigger': '贷款', 'arguments': [{'mention': '农发行长宁县支行', 'offset': [0, 8], 'role': '投资-sub'}, {'mention': '现代农业产业园区', 'offset': [95, 103], 'role': '投资-obj'}]}]",
,2024-05-07
"[{'type': '发布', 'offset': [37, 39], 'trigger': '发布', 'arguments': [{'mention': '江苏银行2023年度绿色金融发展报告', 'offset': [4, 22], 'role': '发布产品'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2024-05-07
"[{'type': '要求/请求', 'offset': [3406, 3408], 'trigger': '要求', 'arguments': [{'mention': '近日', 'offset': [10, 12], 'role': '时间'}, {'mention': '中国人民银行等7部门', 'offset': [0, 10], 'role': '发布方'}]}]",
,2024-05-07
"[{'type': '股份股权转让', 'offset': [140, 142], 'trigger': '出售', 'arguments': [{'mention': '招商银行武汉分行', 'offset': [18, 26], 'role': '股份股权转让-obj-org'}, {'mention': '华新水泥股份有限公司', 'offset': [28, 38], 'role': '股份股权转让-target-company'}, {'mention': '4月29日', 'offset': [0, 5], 'role': '股份股权转让-date'}, {'mention': '超1亿元', 'offset': [60, 64], 'role': '股份股权转让-money'}, {'mention': '碳配额', 'offset': [45, 48], 'role': '股份股权转让-collateral'}, {'mention': '中信证券股份有限公司', 'offset': [6, 16], 'role': '股份股权转让-obj-org'}]}]",
,2024-05-06
"[{'type': '投资', 'offset': [335, 337], 'trigger': '投资', 'arguments': [{'mention': '生态环境厅', 'offset': [114, 119], 'role': '投资-sub'}, {'mention': '325.80亿元', 'offset': [167, 175], 'role': '投资-money'}]}, {'type': '通知/提醒', 'offset': [121, 126], 'trigger': '新闻发布会', 'arguments': [{'mention': '生态环境厅', 'offset': [114, 119], 'role': '投资-sub'}, {'mention': '325.80亿元', 'offset': [167, 175], 'role': '投资-money'}]}]",
,2024-05-06
"[{'type': '股份股权转让', 'offset': [4, 6], 'trigger': '发行', 'arguments': [{'mention': '中银理财', 'offset': [64, 68], 'role': '投资-obj'}, {'mention': '广西北部湾银行', 'offset': [56, 63], 'role': '投资-obj'}, {'mention': '3月末', 'offset': [29, 32], 'role': '投资-date'}, {'mention': '吉林银行', 'offset': [69, 73], 'role': '投资-obj'}, {'mention': '中银理财', 'offset': [64, 68], 'role': '投资-sub'}]}, {'type': '投资', 'offset': [4, 6], 'trigger': '发行', 'arguments': [{'mention': '广西北部湾银行', 'offset': [56, 63], 'role': '投资-obj'}, {'mention': '吉林银行', 'offset': [69, 73], 'role': '投资-obj'}, {'mention': '3月末', 'offset': [29, 32], 'role': '投资-date'}, {'mention': '中银理财', 'offset': [64, 68], 'role': '投资-sub'}, {'mention': '中银理财', 'offset': [64, 68], 'role': '投资-obj'}]}]",
,2024-05-06
"[{'type': '投资', 'offset': [348, 350], 'trigger': '投资', 'arguments': []}]",
,2024-05-06
"[{'type': '介绍/引荐', 'offset': [134, 136], 'trigger': '介绍', 'arguments': [{'mention': '济南市长清区和淄博市淄川区充电设施建设项目', 'offset': [19, 40], 'role': '融资方'}, {'mention': '4500万元', 'offset': [102, 108], 'role': '融资金额'}, {'mention': '3000万元', 'offset': [109, 115], 'role': '融资金额'}]}, {'type': '支付/给付', 'offset': [100, 102], 'trigger': '发放', 'arguments': [{'mention': '4500万元', 'offset': [102, 108], 'role': '融资金额'}, {'mention': '3000万元', 'offset': [109, 115], 'role': '融资金额'}, {'mention': '济南市长清区和淄博市淄川区充电设施建设项目', 'offset': [19, 40], 'role': '融资方'}]}]",
,2024-05-06
"[{'type': '投资', 'offset': [401, 403], 'trigger': '投资', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '财报', 'offset': [11, 13], 'role': '发布产品'}, {'mention': '多家上市银行', 'offset': [3, 9], 'role': '发布方'}]}]",
,2024-05-06
[],
,2024-05-06
"[{'type': '制造', 'offset': [229, 231], 'trigger': '生产', 'arguments': [{'mention': '全国首单“玉米低温气象指数保险+衍生品”项目', 'offset': [21, 43], 'role': '发布产品'}, {'mention': '4月30日', 'offset': [0, 5], 'role': '时间'}]}]",
,2024-05-06
"[{'type': '减持', 'offset': [188, 190], 'trigger': '减碳', 'arguments': [{'mention': '绿色和可持续金融资助计划', 'offset': [42, 54], 'role': '发布产品'}, {'mention': '香港金融管理局', 'offset': [9, 16], 'role': '发布方'}, {'mention': '5月3日', 'offset': [16, 20], 'role': '时间'}]}, {'type': '提供', 'offset': [103, 105], 'trigger': '提供', 'arguments': [{'mention': '绿色和可持续金融资助计划', 'offset': [42, 54], 'role': '发布产品'}, {'mention': '香港金融管理局', 'offset': [9, 16], 'role': '发布方'}, {'mention': '5月3日', 'offset': [16, 20], 'role': '时间'}]}, {'type': '要求/请求', 'offset': [130, 132], 'trigger': '建议', 'arguments': [{'mention': '香港金融管理局', 'offset': [9, 16], 'role': '发布方'}, {'mention': '绿色和可持续金融资助计划', 'offset': [42, 54], 'role': '发布产品'}, {'mention': '5月3日', 'offset': [16, 20], 'role': '时间'}]}]",
,2024-05-05
"[{'type': '通知/提醒', 'offset': [18, 20], 'trigger': '发表', 'arguments': [{'mention': '香港可持续金融分类目录', 'offset': [20, 31], 'role': '发布产品'}, {'mention': '2023年5月', 'offset': [74, 81], 'role': '时间'}, {'mention': '香港金融管理局', 'offset': [0, 7], 'role': '发布方'}]}]",
,2024-05-05
[],
,2024-05-05
"[{'type': '股份股权转让', 'offset': [140, 142], 'trigger': '出售', 'arguments': [{'mention': '招商银行武汉分行', 'offset': [18, 26], 'role': '股份股权转让-obj-org'}, {'mention': '华新水泥股份有限公司', 'offset': [28, 38], 'role': '股份股权转让-target-company'}, {'mention': '4月29日', 'offset': [0, 5], 'role': '股份股权转让-date'}, {'mention': '超1亿元', 'offset': [60, 64], 'role': '股份股权转让-money'}, {'mention': '碳配额', 'offset': [45, 48], 'role': '股份股权转让-collateral'}, {'mention': '中信证券股份有限公司', 'offset': [6, 16], 'role': '股份股权转让-obj-org'}]}]",
,2024-04-30
"[{'type': '减持', 'offset': [158, 160], 'trigger': '减排', 'arguments': [{'mention': '兴业银行太原分行', 'offset': [4, 12], 'role': '股份股权转让-obj-org'}, {'mention': '兴业银行太原分行', 'offset': [4, 12], 'role': '股份股权转让-target-company'}, {'mention': '330亿元', 'offset': [145, 150], 'role': '股份股权转让-money'}]}]",
,2024-04-30
"[{'type': '介绍/引荐', 'offset': [107, 109], 'trigger': '介绍', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '中国建设银行上海市分行与上海碳衡科技有限公司', 'offset': [3, 25], 'role': '发布方'}]}, {'type': '减持', 'offset': [186, 188], 'trigger': '减排', 'arguments': [{'mention': '中国建设银行上海市分行与上海碳衡科技有限公司', 'offset': [3, 25], 'role': '发布方'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2024-04-30
[],
,2024-04-30
"[{'type': '要求/请求', 'offset': [142, 144], 'trigger': '要求', 'arguments': [{'mention': '4月10日', 'offset': [0, 5], 'role': '时间'}, {'mention': '《指导意见》', 'offset': [87, 93], 'role': '发布产品'}]}]",
,2024-04-30
"[{'type': '投资', 'offset': [401, 403], 'trigger': '投资', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '财报', 'offset': [11, 13], 'role': '发布产品'}, {'mention': '多家上市银行', 'offset': [3, 9], 'role': '发布方'}]}]",
,2024-04-30
